unique_word_id,word,frequency,posterior_probability
1,the,1510,0.058793754623681034
2,to,592,0.02305026671339018
3,in,545,0.021220262430401433
4,and,475,0.018494724136588404
5,of,442,0.017209827512362264
6,on,263,0.010240236732468948
7,for,258,0.010045555425768017
8,with,224,0.00872172254020169
9,at,166,0.006463419382470895
10,bt,151,0.005879375462368103
11,was,147,0.005723630417007359
12,is,137,0.005334267803605497
13,it,122,0.004750223883502706
14,that,121,0.00471128762216252
15,his,118,0.004594478838141962
16,has,114,0.004438733792781217
17,he,105,0.004088307440719542
18,as,100,0.0038936261340186116
19,11,95,0.003698944827317681
20,21,91,0.0035431997819569366
21,an,86,0.003348518475256006
22,will,85,0.0033095822139158197
23,out,81,0.0031538371685550753
24,two,81,0.0031538371685550753
25,after,80,0.003114900907214889
26,by,78,0.003037028384534517
27,have,76,0.0029591558618541447
28,not,73,0.002842347077833586
29,but,73,0.002842347077833586
30,10,72,0.0028034108164934003
31,over,71,0.002764474555153214
32,from,70,0.002725538293813028
33,be,69,0.002686602032472842
34,ipl,66,0.002569793248452284
35,its,65,0.0025308569871120975
36,against,64,0.0024919207257719112
37,this,64,0.0024919207257719112
38,first,64,0.0024919207257719112
39,been,62,0.002414048203091539
40,we,58,0.0022583031577307947
41,had,58,0.0022583031577307947
42,run,55,0.0021414943737102362
43,india,55,0.0021414943737102362
44,world,55,0.0021414943737102362
45,coach,54,0.0021025581123700504
46,team,54,0.0021025581123700504
47,kings,53,0.002063621851029864
48,year,53,0.002063621851029864
49,top,52,0.002024685589689678
50,12,51,0.001985749328349492
51,said,50,0.0019468130670093058
52,four,50,0.0019468130670093058
53,overs,49,0.0019078768056691197
54,who,49,0.0019078768056691197
55,wickets,48,0.0018689405443289336
56,three,48,0.0018689405443289336
57,bowling,47,0.0018300042829887473
58,up,47,0.0018300042829887473
59,ball,46,0.0017910680216485612
60,games,46,0.0017910680216485612
61,win,46,0.0017910680216485612
62,indian,45,0.0017521317603083752
63,when,44,0.001713195498968189
64,their,43,0.001674259237628003
65,super,43,0.001674259237628003
66,side,43,0.001674259237628003
67,13,42,0.001635322976287817
68,16,42,0.001635322976287817
